calendar_id,row_type,day_of_week,start_time,end_time,exception_date,exception_type,reason
CAL-STD,pattern,0,07:00,19:00,,,
CAL-STD,pattern,1,07:00,19:00,,,
CAL-STD,pattern,2,07:00,19:00,,,
CAL-STD,pattern,3,07:00,19:00,,,
CAL-STD,pattern,4,07:00,19:00,,,
CAL-BOX,pattern,0,07:00,19:00,,,
CAL-BOX,pattern,1,07:00,19:00,,,
CAL-BOX,pattern,2,07:00,19:00,,,
CAL-BOX,pattern,3,07:00,19:00,,,
CAL-BOX,pattern,4,07:00,19:00,,,
CAL-BOX,exception,,07:00,19:00,2026-01-10,added,overtime
CAL-BOX,exception,,,,2026-01-14,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-15,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-16,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-19,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-20,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-21,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-22,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-23,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-26,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-27,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-28,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-29,closure,planned_maintenance
CAL-BOX,exception,,,,2026-01-30,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-02,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-03,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-04,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-05,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-06,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-09,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-10,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-11,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-12,closure,planned_maintenance
CAL-BOX,exception,,,,2026-02-13,closure,planned_maintenance
